y1;y2;y3;votou2010;denuncia;corrup_lavajato;corrup_ou_incomp;novo_politica;militar;lula;demo_dita;escola;rendaf;cor;idade1;idade;sexo
1;5;5;1;1;1;1;1;1;1;2;5;3;3;24;1;1
1;3;3;2;.;3;.;3;3;2;.;3;1;3;29;2;2
4;4;4;2;1;1;1;3;1;2;1;1;1;2;71;5;1
2;2;5;3;1;3;2;1;1;1;3;4;1;1;54;4;1
1;5;5;2;2;3;1;3;3;2;1;6;2;3;50;4;1
2;4;2;3;1;1;1;3;3;1;1;4;3;1;17;1;1
5;5;4;2;1;2;1;1;2;1;2;2;1;3;42;3;2
5;4;5;2;1;1;1;2;1;2;1;1;1;1;36;3;2
1;5;5;3;1;3;1;1;2;2;1;1;1;1;53;4;1
1;5;5;1;1;1;1;2;1;1;1;7;3;3;45;4;1
1;2;5;2;1;1;2;3;3;1;3;5;2;1;53;4;1
4;1;5;2;1;3;1;3;3;2;1;5;1;1;27;2;2
1;4;4;1;1;.;1;3;3;1;2;4;1;3;16;1;1
5;5;5;1;1;2;2;2;2;1;2;5;1;3;60;5;2
2;.;5;1;1;.;1;.;.;.;.;1;1;98;61;5;2
4;2;4;1;1;3;.;2;3;1;3;2;1;1;57;4;1
5;5;3;3;1;1;1;2;3;1;1;5;3;3;24;1;1
1;4;5;2;1;1;1;3;3;2;1;1;1;3;55;4;2
1;5;2;3;1;1;1;1;1;1;1;4;1;2;27;2;1
5;4;5;3;1;3;2;3;3;2;3;2;1;5;16;1;1
1;5;5;3;1;1;1;3;3;1;1;6;3;3;37;3;2
1;5;5;2;1;3;1;1;3;1;1;4;1;3;28;2;2
1;5;5;1;1;1;1;2;2;1;2;5;4;3;50;4;1
3;3;5;2;1;3;2;3;3;2;3;2;1;98;60;5;2
2;5;5;2;1;3;2;3;3;2;2;1;1;3;59;4;1
2;2;3;3;1;1;1;1;3;1;2;2;1;3;19;1;2
1;5;5;2;1;3;1;1;1;2;3;5;1;1;39;3;1
1;5;5;1;1;3;2;2;2;1;1;2;3;1;64;5;1
2;5;5;2;2;1;2;1;1;2;2;1;1;1;48;4;2
5;3;4;1;1;3;1;2;2;1;3;5;1;3;21;1;2
1;5;4;3;1;1;1;3;1;2;3;5;1;1;48;4;1
1;5;5;2;1;3;1;3;3;2;1;5;4;2;59;4;2
2;5;3;2;1;1;1;2;2;2;1;5;1;2;45;4;2
4;5;5;3;1;3;1;3;3;2;1;5;1;5;21;1;2
5;1;5;2;1;3;1;1;1;2;3;5;1;2;24;1;1
1;5;5;2;1;1;1;2;2;1;2;6;4;1;43;3;1
1;4;5;3;.;3;2;1;3;2;3;2;1;98;46;4;2
1;2;5;2;1;1;1;3;3;2;3;8;4;3;23;1;1
1;5;5;3;.;3;2;3;1;1;3;2;.;1;16;1;1
1;5;5;2;2;3;2;3;3;2;1;5;1;3;35;3;2
1;5;5;2;1;3;1;1;1;2;2;6;3;5;79;5;1
1;5;5;3;1;3;1;1;3;1;1;4;4;1;17;1;1
4;1;5;2;1;3;1;2;2;2;2;6;1;1;21;1;2
1;5;5;2;1;1;1;2;1;2;1;1;1;3;35;3;2
2;2;5;2;1;3;1;1;2;2;3;2;1;2;66;5;2
1;5;5;2;1;3;1;3;3;2;1;5;1;3;41;3;2
5;2;5;2;1;1;2;3;3;2;.;2;1;1;39;3;1
1;5;5;2;1;1;2;3;3;1;1;5;2;3;53;4;2
1;2;2;3;1;1;2;3;2;2;3;3;1;3;19;1;2
1;4;3;1;1;3;1;2;2;1;1;6;1;3;24;1;1
1;5;5;2;1;3;1;3;3;2;1;2;2;3;33;2;1
4;4;5;2;1;2;1;3;2;2;2;2;1;5;30;2;2
1;5;3;1;2;1;2;2;1;1;1;4;3;3;45;4;2
1;5;3;1;1;3;1;3;3;2;2;5;1;4;28;2;1
5;1;5;3;1;1;2;2;1;2;2;2;1;3;39;3;2
1;5;.;3;.;.;.;3;3;.;.;3;2;1;51;4;2
2;2;5;2;1;3;1;3;3;2;1;5;1;2;28;2;2
1;5;5;1;1;2;1;3;3;2;1;3;1;2;56;4;1
5;4;5;2;.;3;.;3;3;2;.;1;1;3;43;3;2
5;5;4;1;.;1;.;1;1;2;2;1;2;3;46;4;2
5;4;3;2;1;3;2;1;2;2;3;2;1;3;48;4;2
5;5;5;3;1;2;1;1;1;2;1;1;.;2;60;5;2
1;5;5;2;1;1;2;1;1;2;3;4;1;2;58;4;1
4;4;3;1;2;1;1;3;1;1;3;5;1;1;69;5;1
2;1;4;2;1;1;1;1;1;1;2;2;1;1;44;3;2
